publication_number,title,abstract,claims,ipc_classification,publication_date,assignee,legal_status
CN119365395A,"Capsule, water dispensing wall for such capsule and method for manufacturing such capsule","The invention relates to a capsule (1) comprising a cup-shaped capsule body (2), a water dispensing wall (10) delimiting a chamber (12) for a substance, and a bottom wall (14). The cup-shaped capsule body (2) comprises a cellulose-based body layer (18) and a liner (20) comprising a liner barrier layer (22). The water distribution wall (10) and/or the bottom wall (14) comprise a wall barrier layer (32). The water dispensing wall (10) and/or the bottom wall (14) are/is connected to the cup-shaped capsule body (2) such that the liner barrier layer (22) and the corresponding wall barrier layer (32) are bonded along the periphery of the body (2).","<div class=""indep-clm"" num=""1""><seg-con>1.胶囊(1)，所述胶囊用于在饮料生产机器中通过在压力下将流体注入所述胶囊中来生产饮料，其中所述胶囊(1)</seg-con><seg-trans>包括：</seg-trans></div>
<div class=""indep-clm"" num=""1""><seg-refi>-杯形胶囊主体(2)，所述杯形胶囊主体具有腔体(4)、顶部开口(6)和底部开口(8)，所述顶部开口(6)和所述底部开口(8)相对于所述腔体(4)定位于所述杯形胶囊主体的基本上相对侧处，</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>-水分配壁(10)，所述水分配壁连接至所述杯形胶囊主体(2)</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>以在所述腔体(4)内界定腔室(12)，所述水分配壁(10)被构造成允许流体通过，所述腔室被构造成用于容纳用于生产所述饮料的物质，</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>-顶壁，所述顶壁用于封闭所述顶部开口(8)，和</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>-底壁(14)，所述底壁用于封闭所述底部开口(8)，所述底壁(14)被适配为在所述胶囊(1)内部的压力增加时开启，以便允许在所述腔室(12)中生产的所述饮料从所述胶囊(1)流出，其中所述杯形胶囊主体(2)具有层状结构，所述层状结构包括：</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>·主体层(18)，所述主体层由纤维素基材料模制，和</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>·衬里(20)，所述衬里被施加在所述主体层(18)的内面上，</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>其中所述衬里(20)包括被构造成提供水分和/或气体阻隔功能的衬里阻隔层(22)，</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>其中所述水分配壁(10)和/或所述底壁(14)分别包括壁阻隔层(32)，所述壁阻隔层被构造成提供水分和/或气体阻隔功能，并且</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>其中所述水分配壁(10)和/或所述底壁(14)连接至所述杯形胶囊主体(2)，使得所述衬里阻隔层(22)和相应的壁阻隔层(32)沿着所述主体(2)的周边结合。</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2.根据权利要求1所述的胶囊(1)，其中所述衬里(20)具有多层结构，所述多层结构除了所述衬里阻隔层(22)之外还</seg-con><seg-trans>包括：</seg-trans></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-refi>·外衬层(26)，所述外衬层在所述主体层(18)的一侧处覆盖所述衬里阻隔层(22)，和/或</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-refi>·内衬层(24)，所述内衬层在所述腔体(4)的一侧处覆盖所述衬里阻隔层(22)。</seg-refi></div>
<div class=""dep-clm"" num=""3"" parent=""2"">3.根据权利要求2所述的胶囊(1)，其中所述外衬层(26)被布置成位于所述主体层(18)与所述衬里阻隔层(22)之间，用于将所述衬里(20)施加到所述主体层(18)。</div>
<div class=""dep-clm"" num=""4"" parent=""2,3"">4.根据权利要求2或3所述的胶囊(1)，其中外接合层(25)被布置成接合所述衬里阻隔层(22)和所述外衬层(26)，并且</div>
<div class=""dep-clm"" num=""4"" parent=""2,3"">其中内接合层(23)被布置成接合所述衬里阻隔层(22)和所述内衬层(24)。</div>
<div class=""dep-","B65D85/804, B65D65/40",20250124,雀巢产品有限公司,['Pending']
US12384984B2,Prevention of MCPD formation by auxiliary degumming,"A method is provided for preventing or reducing the formation of monochloropropanediols (MCPDs) or monochloropropanediol esters (MCPDEs) in triacylglyceride oil, comprising the steps: (a) admixing the triacylglyceride oil with (1) an auxiliary oil wherein the auxiliary triacylglyceride oil has higher phospholipid and/or wax content than the triacylglyceride oil; and/or (2) the gum extract from an oil; (b) degumming the triacylglyceride oil admixture and/or optionally allowing the insoluble components to crystallize; (c) optionally concentrating the insoluble and crystallized components from the triacylglyceride oil admixture (1) by applying a centrifugational force on the triacylglyceride oil admix and/or (2) by allowing the insoluble and crystallized components to settle by gravity; (d) separating insoluble and crystallized components from the triacylglyceride oil admixture and/or optionally applying one or more processes selected from degumming, physical refining, chemical refining, neutralization, interesterification, bleaching, dewaxing and fractionation; (e) applying heat treatment to the triacylglyceride oil admixture.","<div class=""indep-clm"" num=""1""><seg-main>1. A method for preventing or reducing the formation of monochloropropanediols (MCPDs) or monochloropropanediol esters (MCPDEs) in a triacylglyceride oil, comprising the steps:</seg-main>
<seg-clauses>(a) admixing the triacylglyceride oil with</seg-clauses>
<seg-clauses>1. an auxiliary triacylglyceride oil wherein the auxiliary triacylglyceride oil has higher phospholipid and/or wax content than the triacylglyceride oil; and/or</seg-clauses>
<seg-clauses>2. a gum extract;</seg-clauses>
<seg-clauses>(b) degumming the triacylglyceride oil admixture and/or optionally allowing insoluble components to crystallize;</seg-clauses>
<seg-clauses>(c) separating insoluble and crystallized components from the triacylglyceride oil admixture and/or applying one or more processes selected from the group consisting of degumming, physical refining, chemical refining, neutralization, interesterification, bleaching, dewaxing and fractionation; and</seg-clauses>
<seg-clauses>(d) applying heat treatment to the triacylglyceride oil admixture.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. The method of claim 1, wherein </seg-main><seg-clauses>the triacylglyceride oil is selected from the group consisting of a plant oil, animal oil, fish oil, yeast oil, and fungi or algal oil.</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-main>3. The method of claim 1, wherein </seg-main><seg-clauses>the triacylglyceride oil is palm oil or fractions obtained from palm oil.</seg-clauses></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-main>4. The method of claim 1, wherein </seg-main><seg-clauses>the triacylglyceride oil is fish oil or fractions obtained from fish oil.</seg-clauses></div>
<div class=""dep-clm"" num=""5"" parent=""1""><seg-main>5. The method of claim 1, wherein </seg-main><seg-clauses>the triacylglyceride oil is a crude oil.</seg-clauses></div>
<div class=""dep-clm"" num=""6"" parent=""1""><seg-main>6. The method of","C11B3/16, C11B3/00",20250812,SOCIETE DES PRODUITS NESTLE S.A.,['Active']
WO2025181072A1,Ambient storage acidic dairy products or plant based analogues thereof or synthetic analogues thereof with carbohydrates DP3+ and processes of production,The invention relates to ambient storage acidic dairy products or plant-based analogues thereof with live lactic acid bacteria and with carbohydrates DP3+. The ambient storage acidic dairy products may be fermented or acidified. The invention also relates to processed for producing such ambient storage acidic dairy products or plant-based analogues thereof.,"CLAIMS
<div class=""indep-clm"" num=""1""><seg-main>1. Process for producing an ambient storage acidic dairy product or plant-based analogue thereof or synthetic analogue thereof with live lactic acid bacteria, wherein </seg-main><seg-clauses><seg-main>the ambient storage acidic dairy product or plant-based analogue thereof or synthetic analogue thereof is acidified, and wherein said process comprises the steps of: </seg-main><seg-clauses>a) Providing a milk base or the plant-based milk analogue base or the synthetic milk analogue base comprising less than 5.0wt.% metabolizable carbohydrates having a degree of polymerization of DPI to DP2, </seg-clauses><seg-clauses>b) Adding in the milk base or the plant-based milk analogue base or the synthetic milk analogue base a carbohydrate DP3+ ingredient comprising carbohydrates having a degree of polymerization of DP3 and/or above to form a milk base or a plant-based milk analogue base or synthetic milk analogue base with carbohydrates DP3+, </seg-clauses><seg-clauses>c) Acidifying said milk base or said plant-based milk analogue base or said synthetic milk analogue base with carbohydrates DP3+ by adding an acidifying ingredient until reaching a pH of 4.7 or less to obtain an acidified dairy product or plant-based analogue thereof or synthetic analogue thereof, when the pH of the milk base or the plant-based milk analogue base or the synthetic milk analogue base with carbohydrates DP3+ is higher than 4.7, </seg-clauses><seg-clauses>d) Treating the acidified sdairy product or plant-based analogue thereof or synthetic analogue thereof to extend its shelf-life and obtain an ambient storage acidified dairy product or plant-based analogue thereof or synthetic analogue thereof, </seg-clauses><seg-clauses><seg-main>e) adding a lactose negative culture comprising one or more lactic acid bacteria strains to the ambient storage acidified dairy product or plant-based analogue thereof or synthetic analogue thereof to obtain an ambient stor","A23C9/123, A23C9/152, A23C9/154",20250904,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['PCT designated period']
US20250289651A1,Capsule for producing a beverage,"The invention concerns a capsule for use in a beverage preparation machine, said capsule containing a soluble and/or extractable beverage ingredient, said capsule comprising: -a capsule body (<b>2</b>) defining a chamber (<b>21</b>), -a top membrane (<b>3</b>) closing the top opening, and adapted to be punctured for liquid injection into the capsule, and a bottom membrane (<b>4</b>), provided inside the chamber (<b>21</b>) so as to delimit between the top membrane (<b>3</b>) and said bottom membrane an ingredient chamber, and -an opening device (<b>5</b>) provided inside the chamber and adapted to open the chamber by relative engagement of said opening device with the bottom membrane (<b>4</b>) under the effect of the liquid pressure increase in the ingredient chamber during injection of said liquid, wherein the bottom membrane is a laminated multilayer material comprising successively: -a vegetable parchment layer (<b>41</b>), and -an adhesive layer (<b>42</b>), and -a non-woven material layer (<b>43</b>) comprising fibres, wherein said fibres are biodegradable fibres, and wherein the vegetable parchment layer faces the opening device (<b>5</b>).","<div class=""indep-clm"" num=""1""><seg-con>1. A capsule for use in a beverage preparation machine, said capsule </seg-con><seg-trans>containing </seg-trans><seg-refi>a soluble and/or extractable beverage ingredient,</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said capsule comprising:</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a capsule body defining a chamber,</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a top membrane closing the top opening, and adapted to be punctured for liquid injection into the capsule, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a bottom membrane, provided inside the chamber so as to define between the top membrane and said bottom membrane an ingredient chamber, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>an opening device provided inside the chamber and adapted to open the chamber by relative engagement of said opening device with the bottom membrane under the effect of the liquid pressure increase in the ingredient chamber during injection of said liquid,</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>wherein the bottom membrane is a laminated multilayer material comprising successively:</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a vegetable parchment layer, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>an adhesive layer, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a non-woven material layer comprising fibres, wherein said fibres are biodegradable fibres, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>wherein the vegetable parchment support faces the opening device.</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2. The capsule according to claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-comp>the biodegradable fibers of the non-woven material layer </seg-comp><seg-comp>are selected from the group of fibers consisting of PLA, PHA (polyhydroxyalkanoate), PHB (Poly(hydrox","B65D85/804, A47J31/06, B32B1/00, B32B5/02, B32B7/12",20250918,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
CN119947593A,Compositions and methods for digestive health of canines,"Compositions and methods for providing digestive health benefits to canine animals comprise the use of a prebiotic fiber blend comprising pumpkin, inulin, and optionally semen plantaginis.","<div class=""indep-clm"" num=""1"">1.用于犬科动物的益生元纤维共混物，所述益生元纤维共混物包含南瓜、菊粉和任选的车前子。</div>
<div class=""dep-clm"" num=""2"" parent=""1"">2.根据权利要求1所述的益生元纤维共混物，其中所述南瓜以约20％至约50％的量存在于所述纤维共混物中。</div>
<div class=""dep-clm"" num=""3"" parent=""1"">3.根据权利要求1所述的益生元纤维共混物，其中所述菊粉以约10％至约40％的量存在于所述纤维共混物中。</div>
<div class=""dep-clm"" num=""4"" parent=""1"">4.根据权利要求1所述的益生元纤维共混物，其中所述纤维共混物包含车前子，并且其中所述车前子以约20％至约50％的量存在于所述纤维共混物中。</div>
<div class=""indep-clm"" num=""5"">5.宠物食物组合物，所述宠物食物组合物包含根据权利要求1所述的益生元纤维共混物。</div>
<div class=""dep-clm"" num=""6"" parent=""5"">6.根据权利要求5所述的宠物食物组合物，所述宠物食物组合物还包含蛋白质、碳水化合物、脂肪和防腐剂，其中所述纤维共混物以约0.1％至约10％的量存在于所述宠物食物组合物中。</div>
<div class=""dep-clm"" num=""7"" parent=""5"">7.根据权利要求5所述的宠物食物组合物，其中所述南瓜以约0.01％至约5％的量存在于所述宠物食物组合物中，所述菊粉以约0.01％至约5％的量存在于所述宠物食物组合物中，并且所述车前子以约0.01％至约5％的量存在于所述宠物食物组合物中。</div>
<div class=""dep-clm"" num=""8"" parent=""5"">8.根据权利要求5所述的宠物食物组合物，其中所述宠物食物组合物为完全且均衡的宠物食物。</div>
<div class=""indep-clm"" num=""9"">9.补充剂，所述补充剂包含根据权利要求1所述的益生元纤维共混物。</div>
<div class=""dep-clm"" num=""10"" parent=""9"">10.根据权利要求9所述的补充剂，其中所述纤维共混物以约0.1％至约50％的量存在于所述补充剂中。</div>
<div class=""indep-clm"" num=""11"">11.向犬科动物提供消化健康益处的方法，所述方法包括向所述犬科动物施用益生元纤维共混物，其中所述益生元纤维共混物包含南瓜、菊粉和任选的车前子。</div>
<div class=""dep-clm"" num=""12"" parent=""11"">12.根据权利要求11所述的方法，其中将所述益生元纤维共混物定期施用于所述犬科动物。</div>
<div class=""dep-clm"" num=""13"" parent=""11"">13.根据权利要求11所述的方法，其中所述益生元纤维共混物作为宠物食物组合物的一部分施用于所述犬科动物。</div>
<div class=""dep-clm"" num=""14"" parent=""11"">14.根据权利要求11所述的方法，其中所述消化健康益处选自治疗腹泻、增加粪便质量、增加微生物组多样性、减少炎症、减少病原菌、增加迁移率、增加粪便IgA、减少蛋白质分解代谢产物、减少餐后葡萄糖波动及其组合。</div>
<div class=""dep-clm"" num=""15"" parent=""11"">15.根据权利要求11所述的方法，其中所述南瓜以约20％至约50％的量存在于所述纤维共混物中，其中所述菊粉以约10％至约40％的量存在于所述纤维共混物中，并且其中所述车前子以约20％至约50％的量存在于所述纤维共混物中。</div>","A23K10/30, A23K20/163, A23K50/40, A23K50/42",20250506,雀巢产品有限公司,['Pending']
AU2023357845A1,Palatability enhancement of dry pet foods by fat modification,"A pet food product can include a dry pet food kibble; a modified fat which contains a first lipid and also contains a second lipid such that the modified fat has at least one property which is increased relative to the first lipid, the at least one increased property selected from the group consisting of hardness, crystallinity, viscosity, and solid fat content; a liquid digest on the dry pet food kibble and/or the modified fat; and a dried animal digest on at least one of the dry pet food kibble, the modified fat, and the liquid digest.","<div class=""indep-clm"" num=""1""><seg-main>1.     A pet food product comprising:</seg-main>
<seg-clauses>a dry pet food kibble;</seg-clauses>
<seg-clauses class=""seg-enter"">a modified fat which comprises a first lipid and further comprises a second lipid such that the modified fat has at least one property which is increased relative to the first lipid, the at least one increased property selected from the group consisting of hardness, crystallinity, viscosity, and solid fat content;</seg-clauses>
<seg-clauses class=""seg-enter"">a liquid digest on the dry pet food kibble and/or the modified fat; and</seg-clauses>
<seg-clauses class=""seg-enter"">a dried animal digest on at least one of the dry pet food kibble, the modified fat, and the liquid digest.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. The pet food product of Claim 1, wherein </seg-main><seg-clauses>the dry pet food kibble comprises an extrudate comprising at least one of protein, carbohydrate, or fat.</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""1,2""><seg-main>3. The pet food product of Claim 1 or Claim 2, wherein </seg-main><seg-clauses>the first lipid in the modified fat comprises a 0’ structure and/or a 0 structure.</seg-clauses></div>
<div class=""dep-clm"" num=""4"" parent=""1,2,3""><seg-main>4. The pet food product of any of Claims 1-3, wherein </seg-main><seg-clauses>the first lipid in the modified fat is at least one of beef tallow, pork lard, or poultry fat.</seg-clauses></div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4""><seg-main>5. The pet food product of any of Claims 1-4, wherein </seg-main><seg-clauses>the first lipid in the modified fat comprises poultry fat.</seg-clauses></div>
<div class=""dep-clm"" num=""6"" parent=""1,2,3,4,5""><seg-main>6. The pet food product of any of Claims 1-5, wherein </seg-main><seg-clauses>the second lipid in the modified fat comprises a 0 structure or a 0’ structure, preferably a 0 structure</seg-clauses></div>
<div class=""dep-clm"" num=""","A23K10/20, A23K20/147, A23K40/25, A23K40/30, A23K50/42",20250313,SOCIETE DES PRODUITS NESTLE SA,['Pending']
WO2025124926A1,Forming station of cellulose-based container bodies,"The invention concerns a forming station (10; 20; 30) of cellulose-based container bodies (151) wherein a clamping assembly (110; 120; 130) comprising two opposite jaw elements (111, 112; 121, 122; 131, 132) configured to clamp a portion of a multilayer cellulose-based material (50) between them and to define a perimetral flange (151') of said of cellulose-based container bodies (151), and wherein the clamping assembly (110; 120; 130) comprises at least a sliding portion (510; 520; 530) arranged in one of the jaw elements (111; 121; 131) to be at least partly in contact with a plastic layer (50A) of the multilayer cellulose-based material (50) and made of, or coated by, a material comprising polyethylene terephthalate (PET) modified with polytetrafluoroethylene (PTFE) additives allowing the sliding of at least the plastic layer (50A) during the deep-drawing of the cellulose-based container body (151).","CLAIMS
<div class=""indep-clm"" num=""1""><seg-main>1 . Forming station (10; 20; 30) of cellulose-based container bodies (151 ) comprising:</seg-main>
<seg-clauses>- a clamping assembly (110; 120; 130), configured to clamp a portion of a multilayer cellulose-based material (50) provided with at least a cellulose layer (50B) and a plastic layer (50A), and</seg-clauses>
<seg-clauses>- a deep-drawing assembly (210; 220; 230), configured to define a cellulose-based container body (151 ) by deep-drawing said multilayer cellulose-based material (50) while clamped by said clamping assembly (110; 120; 130), wherein said clamping assembly (110; 120; 130) comprises two opposite jaw elements (1 11 , 112; 121 , 122; 131 , </seg-clauses><seg-clauses>132) configured to clamp a portion of said multilayer cellulose-based material (50) between them and to define a perimetral flange (151 ’) of said of cellulose-based container bodies (151 ), and wherein said clamping assembly (1 10; 120; 130) comprises at least a sliding portion (510; 520; 530) arranged in one of said jaw elements (1 11 ; 121 ; </seg-clauses><seg-clauses>131 ) configured to be at least partly in contact with said plastic layer (50A) and made of, or coated by, a material comprising polyethylene terephthalate (PET) modified with polytetrafluoroethylene (PTFE) additives allowing the sliding of at least said plastic layer (50A) during the deep-drawing of said cellulose-based container body (151 ).</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. Forming station (10; 20; 30) of cellulose-based container bodies (151 ) according to claim 1 , wherein </seg-main><seg-clauses>said sliding portion (510; 520; 530) is made of, or coated by, a material having a lower coefficient of friction with respect to the other jaw element (112; 122; 132) or having a lower coefficient of friction with respect to the other jaw element (1 12; 122; 132) and to the deep-drawing assembly (210; 220; 230).</seg-clauses></div>
<di","B29C51/08, B29C51/14, B29C51/26, B29C51/04, B29K1/00",20250619,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['PCT designated period']
US20250089929A1,Beverage preparation system,"The invention concerns a beverage production system comprising a pack (<b>10</b>) comprising a readable code and a module (<b>1</b>) for producing a beverage from said pack,—said module (<b>1</b>) comprising: a code reader, a movable fluid processing device (<b>11</b>) to introduce a fluid in said pack and to dispense a beverage from the pack, and. a pack holder assembly (<b>2</b>) comprising a pack chamber (<b>22</b>) and a movable interacting device (<b>24</b>) configured to move between:—a first interacting position wherein said locking device interacts with the pack (<b>10</b>) received in the chamber inside the pack holder assembly, and,—a second release position wherein said interacting device does not interact with the pack (<b>10</b>) received in the chamber, and said movable interacting device (<b>24</b>) comprises a movable pushing device configured to push the readable code (<b>102</b>) of the pack to the code reader (<b>4</b>) when the movable interacting device (<b>24</b>) is in the first fixing position.","<div class=""indep-clm"" num=""1""><seg-con>1. A beverage production system </seg-con><seg-trans>comprising </seg-trans><seg-refi>a pack and a module for producing a beverage from said pack,</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said pack comprising an ingredient, said ingredient being configured to be mixed with a fluid to produce a beverage,</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said pack presenting a plane shape oriented along a plane and comprising two longitudinal plane walls extending along this plane, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>the bottom side of said pack being configured for being openable, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said pack comprising at least one readable code, said code being positioned on at least one of the two longitudinal plane walls, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said module comprising:</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a movable fluid processing device configured to cooperate with the bottom of the pack to introduce a fluid in said pack and to dispense a beverage from the pack, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a code reader,</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>a pack holder assembly, said pack holder assembly comprising a pack chamber and a movable interacting device wherein:</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>the pack chamber is adapted for receiving said pack through an upper pack inlet and for holding said pack so that the plane of the plane shape is oriented in an essentially vertical position inside the module, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said chamber presenting a bottom opening configured to enable access of the movable fluid processing device to at least the bottom side of said pack hold in the chamber, and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>said chamb","A47J31/44, A47J31/40",20250320,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
SG10202500521RA,Apparatus and method for roasting coffee beans,,"<div class=""indep-clm"" num=""1""><seg-main>1. An apparatus for roasting coffee beans comprising :</seg-main>
<seg-clauses>- a vessel (1) to contain coffee beans,</seg-clauses>
<seg-clauses class=""seg-enter"">5 - a heating device (12) to heat coffee beans contained in the vessel,</seg-clauses>
<seg-clauses>- a control system (180) operable to control the heating device and configured to apply a</seg-clauses>
<seg-clauses class=""seg-enter"">roasting recipe (R) providing the temperature T@t1, T@t2, … to be applied at discrete</seg-clauses>
<seg-clauses class=""seg-enter"">successive times t1, t2, …, respectively,</seg-clauses>
<seg-clauses class=""seg-enter"">wherein, for any customised quantity m of coffee beans of type Ny introduced inside the</seg-clauses>
<seg-clauses class=""seg-enter"">10 vessel,</seg-clauses>
<seg-clauses>- the control system is configured to obtain at least :</seg-clauses>
<seg-clauses class=""seg-enter"">. the customised quantity m of coffee beans introduced inside the vessel, and</seg-clauses>
<seg-clauses class=""seg-enter"">. the type Ny of coffee beans introduced inside the vessel,</seg-clauses>
<seg-clauses class=""seg-enter"">and</seg-clauses>
<seg-clauses class=""seg-enter"">15 - based on the obtained type Ny, the control system is configured to get access at least :</seg-clauses>
<seg-clauses class=""seg-enter"">. to a roasting recipe Ry, said recipe being adapted to the roasting of one pre-determined</seg-clauses>
<seg-clauses class=""seg-enter"">quantity M of beans of type Ny, said roasting recipe Ry providing the temperatures TM@t1,</seg-clauses>
<seg-clauses class=""seg-enter"">TM@t2, , .respectively to be applied at discrete successive times t1, t2, …,</seg-clauses>
<seg-clauses class=""seg-enter"">and</seg-clauses>
<seg-clauses>20 . to said pre-determined quantity M,</seg-clauses>
<seg-clauses class=""seg-enter"">and</seg-clauses>
<seg-clauses>- based on the accessible roasting recipe Ry, on the accessible pre-determined quantity M</seg-clauses>
<seg-clause",,20250530,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['Pending']
EP4505916A2,Beverage preparation machine with capsule recognition,"Method for preparing and dispensing a beverage, such as tea, coffee, hot chocolate, cold chocolate, milk, soup or baby food, comprising inserting a capsule in a capsule feeder, recognizing a type of the capsule by a capsule recognition module, relatively moving a first and a second parts of an extraction unit into their distant position, supplying the capsule to an extraction chamber, relatively moving the first and second parts into their close position to position the capsule in the extraction chamber, extracting the capsule applying extraction parameters determined on the basis of the recognised type of the capsule to prepare a beverage, and dispensing the prepared beverage, wherein the capsule recognition module is configured to determine a type of a capsule at the capsule recognition position by capturing an image of said capsule and processing said image by a neural network computing device.","<div class=""indep-clm"" num=""1""><seg-main>1.  A method for preparing and dispensing a beverage, such as tea, coffee, hot chocolate, cold chocolate, milk, soup or baby food, comprising: </seg-main><seg-clauses>- inserting a capsule in a capsule feeder (2) of a machine for preparing and dispensing a beverage; </seg-clauses><seg-clauses>- recognizing a type of the capsule by a capsule recognition module (4) of the machine for preparing and dispensing a beverage; </seg-clauses><seg-clauses>- relatively moving a first and a second parts of an extraction unit of the machine for preparing and dispensing a beverage into their distant position automatically, semi-automatically or manually; </seg-clauses><seg-clauses>- supplying the capsule to an extraction chamber of the machine for preparing and dispensing a beverage; </seg-clauses><seg-clauses>- relatively moving the first and second parts into their close position to position the capsule in the extraction chamber; </seg-clauses><seg-clauses>- extracting the capsule in the extraction chamber applying extraction parameters determined on the basis of the recognised type of the capsule to prepare a beverage; and </seg-clauses><seg-clauses>- dispensing the prepared beverage via an outlet (16) to a receptacle in a receptacle placing area of the machine for preparing and dispensing a beverage. wherein the capsule recognition module (4) is configured to determine a type of a capsule inserted in the beverage preparation machine at the capsule recognition position (20) by capturing an image of said capsule and processing said image by a neural network computing device.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2.  The method according to claim 1, wherein </seg-main><seg-clauses>the recognizing a type of the capsule by the capsule recognition module (4) comprises lighting up a capsule at a capsule recognition position by at least one source of light, for example at least one LED.</seg-clauses></div>
<div c",A47J31/44,20250212,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['Pending']
US20250064254A1,Automatic beverage machine,"A beverage preparation machine having an ingredient processing module for preparing a beverage with at least one ingredient supplied with a capsule. The machine includes a positioner arranged to hold at least one capsule out of the ingredient processing module. The machine further includes a sensing arrangement adapted to detect an event related to the insertion by a user of a capsule and/or the presence of the capsule on or into the positioner. The machine is configured, upon detection of the event, to transfer the capsule to the ingredient processing module by using transfer means, and then to start the preparation of the beverage. The machine provides a convenient and safe solution to fully automate the preparation of a beverage.","<div class=""indep-clm"" num=""1""><seg-con>1. A beverage preparation machine </seg-con><seg-trans>comprising:</seg-trans></div>
<div class=""indep-clm"" num=""1""><seg-comp>an ingredient processing member configured to prepare at least one beverage with at least one ingredient in at least one capsule;</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>a positioner arranged to hold the at least one capsule out of the ingredient processing member;</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>a sensing member adapted to detect an event selected from the group consisting of insertion of the at least one capsule by a user into the positioner, presence of the at least one capsule in the positioner, and combinations thereof; and</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>a transfer member configured, upon detection of the event, to transfer the at least one capsule to the ingredient processing member for the ingredient processing member to start preparation of the at least one beverage,</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>the beverage preparation machine is configured to, during preparation of a first beverage with a first capsule, allow insertion of a second capsule into the positioner and detection of the second capsule by the sensing member, and</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>the beverage preparation machine is configured to open the positioner, feed the ingredient processing member with the second capsule, and close the ingredient processing member automatically when the preparation of the first beverage is completed.</seg-comp></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2. The beverage preparation machine of claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the sensing member is adapted to detect the event by receiving or reading information from the at least one capsule, and/or by measuring a characteristic of the at least one capsule selected from the group consisting ","A47J31/44, A47J31/36, A47J31/52",20250227,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
